Shot,Combo,ball_mass,firing_height,band_length,short_long
run1,0.00,61.30,18.00,41.80,1.00
run2,8.00,94.10,23.00,43.00,1.00
run3,3.00,22.90,23.00,40.60,1.00
run4,1.00,22.90,13.00,40.60,1.00
run5,2.00,22.90,13.00,43.00,0.00
run6,4.00,22.90,23.00,43.00,1.00
run7,7.00,94.10,23.00,40.60,1.00
run8,6.00,94.10,13.00,43.00,1.00
run9,5.00,94.10,13.00,40.60,1.00
run10,0.00,61.30,18.00,41.80,1.00
run11,1.00,22.90,13.00,40.60,1.00
run12,4.00,22.90,23.00,43.00,1.00
run13,3.00,22.90,23.00,40.60,1.00
run14,6.00,94.10,13.00,43.00,0.00
run15,8.00,94.10,23.00,43.00,1.00
run16,2.00,22.90,13.00,43.00,0.00
run17,5.00,94.10,13.00,40.60,1.00
run18,7.00,94.10,23.00,40.60,1.00
run19,0.00,61.30,18.00,41.80,1.00
run20,2.00,22.90,13.00,43.00,0.00
run21,3.00,22.90,23.00,40.60,1.00
run22,6.00,94.10,13.00,43.00,1.00
run23,8.00,94.10,23.00,43.00,1.00
run24,5.00,94.10,13.00,40.60,1.00
run25,4.00,22.90,23.00,43.00,1.00
run26,7.00,94.10,23.00,40.60,1.00
run27,1.00,22.90,13.00,40.60,1.00
run28,0.00,61.30,18.00,41.80,1.00
trial 1,0.00,61.30,14.00,47.00,0.00
trial 2,1.00,22.90,9.00,42.00,0.00
trial 3,2.00,22.90,9.00,52.00,0.00
trial 4,3.00,22.90,19.00,42.00,1.00
trial 5,4.00,22.90,19.00,52.00,0.00
trial 6,5.00,94.10,9.00,42.00,0.00
trial 7,6.00,94.10,9.00,52.00,0.00
trial 8,7.00,94.10,19.00,42.00,1.00
trial 9,8.00,94.10,19.00,52.00,0.00
trial 10,0.00,61.30,14.00,47.00,0.00
trial 11,1.00,22.90,9.00,42.00,0.00
trial 12,2.00,22.90,9.00,52.00,0.00
trial 13,3.00,22.90,19.00,42.00,1.00
trial 14,4.00,22.90,19.00,52.00,0.00
trial 15,5.00,94.10,9.00,42.00,0.00
trial 16,6.00,94.10,9.00,52.00,0.00
trial 17,7.00,94.10,19.00,42.00,1.00
trial 18,8.00,94.10,19.00,52.00,0.00
trial 19,0.00,61.30,14.00,47.00,0.00
trial 20,1.00,22.90,9.00,42.00,0.00
trial 21,2.00,22.90,9.00,52.00,0.00
trial 22,3.00,22.90,19.00,42.00,1.00
trial 23,4.00,22.90,19.00,52.00,0.00
trial 24,5.00,94.10,9.00,42.00,0.00
trial 25,6.00,94.10,9.00,52.00,0.00
trial 26,7.00,94.10,19.00,42.00,1.00
trial 27,8.00,94.10,19.00,52.00,0.00
trial 28,0.00,61.30,14.00,47.00,0.00
ob1,0.00,61.30,10.40,39.50,1.00
ob2,3.00,22.90,14.20,33.00,1.00
ob3,2.00,22.90,6.60,46.00,0.00
ob4,6.00,94.10,6.60,46.00,0.00
ob5,8.00,94.10,14.20,46.00,1.00
ob6,5.00,94.10,6.60,33.00,1.00
ob7,4.00,22.90,14.20,46.00,1.00
ob8,7.00,94.10,14.20,33.00,1.00
ob9,1.00,22.90,6.60,33.00,1.00
ob10,0.00,61.30,10.40,39.50,1.00
ob11,2.00,22.90,6.60,46.00,0.00
ob12,1.00,22.90,6.60,33.00,1.00
ob13,3.00,22.90,14.20,33.00,1.00
ob14,4.00,22.90,14.20,46.00,1.00
ob15,5.00,94.10,6.60,33.00,1.00
ob16,7.00,94.10,14.20,33.00,1.00
ob17,8.00,94.10,14.20,46.00,1.00
ob18,6.00,94.10,6.60,46.00,0.00
ob19,0.00,61.30,10.40,39.50,1.00
ob20,1.00,22.90,6.60,33.00,1.00
ob21,4.00,22.90,14.20,46.00,1.00
ob22,3.00,22.90,14.20,33.00,1.00
ob23,6.00,94.10,6.60,46.00,0.00
ob24,8.00,94.10,14.20,46.00,1.00
ob25,2.00,22.90,6.60,46.00,0.00
ob26,5.00,94.10,6.60,33.00,1.00
ob27,7.00,94.10,14.20,33.00,1.00
ob28,0.00,61.30,10.40,39.50,1.00
op1,-1.00,68.50,7.36,47.25,1.00
op2,-1.00,68.50,7.36,47.25,1.00
op3,-1.00,68.50,7.36,47.25,1.00
op4,-1.00,68.50,7.36,47.25,1.00
test1,-1.00,68.50,21.50,41.20,1.00
test2,-1.00,68.50,21.50,41.20,1.00
test3,-1.00,68.50,21.50,41.20,1.00
test4,-1.00,68.50,21.50,41.20,1.00
T1,-1.00,68.50,16.50,42.90,1.00
T2,-1.00,68.50,16.50,42.90,1.00
T3,-1.00,68.50,16.50,42.90,1.00
T4,-1.00,68.50,16.50,42.90,1.00
Hit1,-1.00,22.90,22.10,43.00,1.00
Hit2,-1.00,22.90,22.10,43.00,1.00
Hit3,-1.00,22.90,22.10,43.00,1.00
Hit4,-1.00,22.90,22.10,43.00,1.00